"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bélarus","BLR","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.6304347826087","36.3654822335025","29.9409880290002","28.7417114898314","27.723455606003","27.2144044925442","25.9043438755499","27.0587667676559","25.3401651010532","26.8710548994946","24.6783838275634","28.2128169988623","29.2698762597066","30.250762674224","32.4134847792902","34.6577822535411","33.9503611411595","31.7738362587998","30.2074804270194","25.4492994190304","27.6224227639515","28.2546964798114","27.4104920512789","28.110439801635","29.4170537971155","29.3216608563755","28.1637114447351","28.5883692178918","29.9281396840657","27.8747723019691","",
"Belize","BLZ","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5832354147547","12.6702654199718","13.607349375561","14.7309647581583","15.9253658308231","14.1630969791941","14.1433333735834","14.5111542813855","14.2948456019953","14.6077394994399","13.1028520965735","14.4710171976566","14.2023422509797","16.2666449782341","19.2929798456784","18.6876174566652","19.5916272809271","18.0165915620878","18.298779031069","19.8938330073088","19.8331258319078","20.0431657454439","18.4935726248479","18.9888280660923","19.5593785570192","20.6015952860359","21.2621657028567","22.3374934892411","","","","","",
"Bermudes","BMU","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivie","BOL","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9714543272277","12.1675796194547","11.6792372734338","13.0645371205557","14.1920657191241","14.5284411457768","17.5620012095936","20.3773917815907","18.9761004512685","17.7068003466498","18.8322628754362","19.688854008682","19.6762972839685","20.5041202732739","20.5536490053406","24.2449169289855","28.7844354599794","28.2076378858982","27.2111987248072","25.9831530558235","23.9380392527656","21.8110433637866","","","","","","","","","","","","","","","",
"Brésil","BRA","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.7014530840445","31.3064734506666","30.7940989613241","30.8363376486568","32.0693994463665","36.924419825549","36.4916011293298","36.2476538726346","35.453999893748","34.7874528376371","38.4811610303133","32.1990941131946","34.7002854535069",
"Barbade","BRB","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.98426546191","25.7947452460444","28.1038131576123","26.8964653647346","29.2572374946513","30.8969269003709","33.9889768223043","34.3437724970482","32.2797930268018","35.4879454251872","35.4534149886353","33.3717167771263","35.1496980566117","33.7317629508806","","","","","","",
"Brunéi Darussalam","BRN","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhoutan","BTN","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","15.9272888176602","14.4767214328522","16.8474733067438","21.8599144595702","17.5249458366688","","22.1052657553673","21.3313652956594","21.4239137889667","20.4451090360374","18.99815954426","18.4597117806252","20.352326778682","21.0312912513236","24.3369737343369","20.3876360655992","17.8380164072408","18.9884963075733","19.8501566639474","20.8371156688984","19.0654605492434","19.0972156569528","17.4875607385925","20.2993281163916","19.7995280256013","18.8212941086102","23.1251394828451","23.86799607961","22.2296887207665","22.3893699558757","20.9224369861204","20.6252335047624","18.6576264888817","19.5580899635546","19.2337921829538","17.6203570089232","19.3875030280759","16.6307390482069","24.0761602487362","","",
"Botswana","BWA","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6816025863719","27.8405419816203","30.4987482710136","32.6279809985908","29.0775365994438","30.6240563663815","28.9626370625942","","","","","","","","","","29.3333740630352","31.1492331125624","35.751214669201","39.1751612933252","33.5156076335395","29.7867605507382","31.5200789767544","29.48597480927","29.1324048731669","31.2430941784713","26.7811392255083","28.154984240063","29.0644156467701","28.800544988701","33.8587111166706","28.4093166855457","",
"République centrafricaine","CAF","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.66162851275332","","","","11.0060729405559","15.8641793874006","16.3366647703798","13.4640903708419","8.18447190574619","","8.27197400077813","9.30655844158761","9.02134552692702","8.67679860120799","10.1233533419528","9.93933909760806","13.9733066121224","11.6613898280077","",
"Canada","CAN","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.1003248018335","25.3663221583048","25.5337984176739","25.1350334722377","23.7490719368867","23.4303847545937","22.3451270826694","20.3710462622465","20.1743893660975","19.7560910273366","18.7745182688509","18.7110049059225","17.963084125068","18.0373335713637","17.2659172104417","17.8239879344923","17.0276912468077","16.9627803202211","17.0833534495245","18.85417104193","19.0847071449408","17.8502680006291","17.5175199279774","17.0848821579089","16.4020498301416","17.0597786823228","17.498604071126","17.6065954076372","17.5409004540917","18.1057096781026","28.5714736058033","22.665638508726","18.4965355496716",
"Europe centrale et les pays baltes","CEB","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.1122865564427","41.9159070176329","42.5929274216283","39.4484057868923","39.0617643402613","39.2394415384686","38.7987586169024","38.6205276328327","38.6443167822251","38.5756022531311","36.6900880975609","35.9479810297269","35.601813827053","34.9089698841789","35.5991120429836","38.2849587405502","37.879117142583","36.9119382466766","36.6982499683953","37.3628548462767","36.8144180283076","36.0618051206233","35.9417619238336","34.9570837689515","34.5469792665503","35.0762643397313","40.8602022628389","38.8949500377651","",
"Suisse","CHE","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","16.6572382448963","15.9975509187373","16.7314184978376","17.1471448106779","17.2329762653341","","","","","","14.0359260685729","15.0879116119048","16.3922335408095","17.5827336399258","17.6792138702836","17.621135865514","18.3043333152888","18.5289874080571","18.5222897658126","19.2106707982503","18.516531788552","17.5202183407864","19.4819504580923","18.3415985235915","18.1701679230064","17.8222313074719","16.8917221176105","16.3543043101587","15.8397851197895","16.918582516051","16.7197445429207","16.6376791837765","16.5219261840556","16.7887620098092","16.7192645031926","17.0674446630017","17.2408228496826","17.2162171396998","16.7182236540887","16.8530605013535","20.0399519514944","19.0136583813985","",
"Îles Anglo-Normandes","CHI","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chili","CHL","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","32.4465422936623","26.5455239559666","24.0386426487812","27.7086862739494","25.666460222327","27.2109997708235","26.9594755853555","24.1335835220153","24.2089658591635","25.4523928844232","30.7288709072223","29.0682516758894","29.7165246987441","25.7384403629365","24.0379731474228","21.0900585059265","19.2505883112137","17.709361941282","16.8206083004279","17.1281093895472","16.5937367515193","16.5982582388316","15.9816395622652","15.1241569228715","15.738444600606","15.8649744718619","17.2263941664674","18.7140038461769","20.1386805048228","20.0571230559933","20.0926250802491","19.3366626993026","18.2083109081553","17.2109749860287","15.8867269550541","16.0414047722644","18.4111324189168","21.311468170807","20.2081834493075","19.4945095736039","19.9248545230652","20.1963012046421","20.6752522596048","21.6348148835746","22.1268634758418","22.3472564732169","22.6179870091523","23.2889351960607","26.2198955468845","30.6950384296062","",
"Chine","CHN","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Côte d'Ivoire","CIV","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2941205356375","9.08261519702029","10.3190259166705","10.1072584827044","10.5281294074699","9.75267521167762","10.6613980449347","11.0198789267792","10.4786765320953","10.6252444022858","9.60983909951552","11.3215604705724","9.93060164103365","9.21632749724051","13.4545912156732","13.4001933039204","14.9472059883342","14.7370417836244","13.737314688284","16.0435444359209","16.6016696633019","",
